sessionid,period,subject,group,profit,totalprofit,type,price,share,accept,ptprofit,satmath,satverbal,sateng,poli_liberal,tv
191017_1017,19,17,3,-2,-16,1,8,10,1,5,12,14,14,5,6
191017_1017,19,18,3,5,50.5,2,8,10,1,-2,0,0,0,4,6
191017_1017,19,19,1,0,-18,1,13,10,0,0,14,14,13,3,6
191017_1017,19,20,1,7,58,2,10,14,1,-4,14,14,14,7,6
191017_1017,19,21,1,0,58,2,13,10,0,0,11,13,14,3,6
191017_1017,19,22,1,0,-21,1,14,11,0,0,14,14,15,2,6
191017_1017,19,23,3,-2,5,1,8,10,1,5,12,14,14,5,6
191017_1017,19,24,3,5,88.5,2,8,10,1,-2,14,14,15,3,6
191017_1017,20,1,2,0,18,2,15,0,0,0,11,13,13,6,23
191017_1017,20,2,2,0,31.5,2,18,14,0,0,14,12,13,6,23
191017_1017,20,3,1,0,70,2,15,8,0,0,13,13,15,5,23
191017_1017,20,4,2,0,-13,1,16,10,0,0,14,14,14,3,23
191017_1017,20,5,2,0,59.5,2,16,10,0,0,15,14,14,6,23
191017_1017,20,6,3,0,109.5,2,14,12,0,0,15,14,14,4,23
191017_1017,20,7,3,0,-27,1,14,12,0,0,10,13,14,5,23
191017_1017,20,8,1,8,28,1,15,18,1,3.5,15,14,13,6,23
191017_1017,20,9,2,0,-23,1,15,0,0,0,14,14,14,7,23
191017_1017,20,10,3,11,5,1,12,13,1,0.5,10,15,15,3,23
191017_1017,20,11,2,3.5,77.5,2,15,15,1,8,14,14,14,5,23
191017_1017,20,12,2,0,8,1,18,14,0,0,12,13,14,4,23
191017_1017,20,13,3,0.5,67.5,2,12,13,1,11,15,10,15,5,23
191017_1017,20,14,1,3.5,83.5,2,15,18,1,8,15,13,13,6,23
191017_1017,20,15,1,10,-40,1,13,14,1,1.5,12,12,12,6,23
191017_1017,20,16,2,8,39,1,15,15,1,3.5,14,12,14,2,23
191017_1017,20,17,3,0,-16,1,16,10,0,0,12,14,14,5,23
191017_1017,20,18,3,2.5,53,2,14,18,1,9,0,0,0,4,23
191017_1017,20,19,1,0,-18,1,15,8,0,0,14,14,13,3,23
191017_1017,20,20,1,1.5,59.5,2,13,14,1,10,14,14,14,7,23
191017_1017,20,21,1,0,58,2,15,11,0,0,11,13,14,3,23
191017_1017,20,22,1,0,-21,1,15,11,0,0,14,14,15,2,23
191017_1017,20,23,3,9,14,1,14,18,1,2.5,12,14,14,5,23
191017_1017,20,24,3,0,88.5,2,16,10,0,0,14,14,15,3,23
191017_1017,21,1,2,0,18,2,6,0,0,0,11,13,13,6,11
191017_1017,21,2,2,1.5,33,2,7,12,1,4,14,12,13,6,11
191017_1017,21,3,1,7.5,77.5,2,13,17,1,-2,13,13,15,5,11
191017_1017,21,4,2,0,-13,1,11,11,1,5.5,14,14,14,3,11
191017_1017,21,5,2,5.5,65,2,11,11,1,0,15,14,14,6,11
191017_1017,21,6,3,5.5,115,2,11,13,1,0,15,14,14,4,11
191017_1017,21,7,3,0,-27,1,11,0,0,0,10,13,14,5,11
191017_1017,21,8,1,-2,26,1,13,17,1,7.5,15,14,13,6,11
191017_1017,21,9,2,0,-23,1,6,0,0,0,14,14,14,7,11
191017_1017,21,10,3,0,5,1,11,13,1,5.5,10,15,15,3,11
191017_1017,21,11,2,7.5,85,2,13,16,1,-2,14,14,14,5,11
191017_1017,21,12,2,4,12,1,7,12,1,1.5,12,13,14,4,11
191017_1017,21,13,3,6.5,74,2,12,15,1,-1,15,10,15,5,11
191017_1017,21,14,1,0,83.5,2,14,9,0,0,15,13,13,6,11
191017_1017,21,15,1,-1,-41,1,12,14,1,6.5,12,12,12,6,11
191017_1017,21,16,2,-2,37,1,13,16,1,7.5,14,12,14,2,11
191017_1017,21,17,3,3,-13,1,8,10,1,2.5,12,14,14,5,11
191017_1017,21,18,3,0,53,2,11,0,0,0,0,0,0,4,11
191017_1017,21,19,1,0,-18,1,10,6,0,0,14,14,13,3,11
191017_1017,21,20,1,6.5,66,2,12,14,1,-1,14,14,14,7,11
191017_1017,21,21,1,0,58,2,10,6,0,0,11,13,14,3,11
191017_1017,21,22,1,0,-21,1,14,9,0,0,14,14,15,2,11
191017_1017,21,23,3,-1,13,1,12,15,1,6.5,12,14,14,5,11
191017_1017,21,24,3,2.5,91,2,8,10,1,3,14,14,15,3,11
191017_1017,22,1,2,0,18,2,4,0,0,0,11,13,13,6,8
191017_1017,22,2,2,2,35,2,6,15,1,2,14,12,13,6,8
191017_1017,22,3,1,0,77.5,2,13,8,0,0,13,13,15,5,8
191017_1017,22,4,2,-2,-15,1,10,10,1,6,14,14,14,3,8
191017_1017,22,5,2,6,71,2,10,10,1,-2,15,14,14,6,8
191017_1017,22,6,3,0,115,2,12,5,0,0,15,14,14,4,8
191017_1017,22,7,3,0,-27,1,12,5,0,0,10,13,14,5,8
191017_1017,22,8,1,0,26,1,8,18,1,4,15,14,13,6,8
191017_1017,22,9,2,0,-23,1,4,0,0,0,14,14,14,7,8
191017_1017,22,10,3,1,6,1,7,12,1,3,10,15,15,3,8
191017_1017,22,11,2,9,94,2,13,14,1,-5,14,14,14,5,8
191017_1017,22,12,2,-5,7,1,13,14,1,9,12,13,14,4,8
191017_1017,22,13,3,0,74,2,10,5,0,0,15,10,15,5,8
191017_1017,22,14,1,8,91.5,2,12,13,1,-4,15,13,13,6,8
191017_1017,22,15,1,-4,-45,1,12,13,1,8,12,12,12,6,8
191017_1017,22,16,2,2,39,1,6,15,1,2,14,12,14,2,8
191017_1017,22,17,3,0,-13,1,8,10,1,4,12,14,14,5,8
191017_1017,22,18,3,4,57,2,8,10,1,0,0,0,0,4,8
191017_1017,22,19,1,0,-18,1,13,8,0,0,14,14,13,3,8
191017_1017,22,20,1,8,74,2,12,12,1,-4,14,14,14,7,8
191017_1017,22,21,1,4,62,2,8,18,1,0,11,13,14,3,8
191017_1017,22,22,1,-4,-25,1,12,12,1,8,14,14,15,2,8
191017_1017,22,23,3,0,13,1,10,5,0,0,12,14,14,5,8
191017_1017,22,24,3,3,94,2,7,12,1,1,14,14,15,3,8
191017_1017,23,1,2,0,18,2,9,0,0,0,11,13,13,6,16
191017_1017,23,2,2,5,40,2,13,15,1,3,14,12,13,6,16
191017_1017,23,3,1,5,82.5,2,13,18,1,3,13,13,15,5,16
191017_1017,23,4,2,0,-15,1,14,10,0,0,14,14,14,3,16
191017_1017,23,5,2,4,75,2,12,17,1,4,15,14,14,6,16
191017_1017,23,6,3,0,115,2,12,0,0,0,15,14,14,4,16
191017_1017,23,7,3,0,-27,1,12,0,0,0,10,13,14,5,16
191017_1017,23,8,1,3,29,1,13,18,1,5,15,14,13,6,16
191017_1017,23,9,2,0,-23,1,9,0,0,0,14,14,14,7,16
191017_1017,23,10,3,0,6,1,14,12,0,0,10,15,15,3,16
191017_1017,23,11,2,0,94,2,14,10,0,0,14,14,14,5,16
191017_1017,23,12,2,4,11,1,12,17,1,4,12,13,14,4,16
191017_1017,23,13,3,0,74,2,10,5,0,0,15,10,15,5,16
191017_1017,23,14,1,0,91.5,2,12,10,0,0,15,13,13,6,16
191017_1017,23,15,1,0,-45,1,15,13,0,0,12,12,12,6,16
191017_1017,23,16,2,3,42,1,13,15,1,5,14,12,14,2,16
191017_1017,23,17,3,0,-13,1,13,10,0,0,12,14,14,5,16
191017_1017,23,18,3,0,57,2,13,10,0,0,0,0,0,4,16
191017_1017,23,19,1,0,-18,1,13,8,0,0,14,14,13,3,16
191017_1017,23,20,1,0,74,2,13,8,0,0,14,14,14,7,16
191017_1017,23,21,1,0,62,2,15,13,0,0,11,13,14,3,16
191017_1017,23,22,1,0,-25,1,12,10,0,0,14,14,15,2,16
191017_1017,23,23,3,0,13,1,10,5,0,0,12,14,14,5,16
191017_1017,23,24,3,0,94,2,14,12,0,0,14,14,15,3,16
191017_1017,24,1,2,0.5,18.5,2,4,10,1,3,11,13,13,6,7
191017_1017,24,2,2,2.5,42.5,2,6,15,1,1,14,12,13,6,7
191017_1017,24,3,1,9.5,92,2,13,18,1,-6,13,13,15,5,7
191017_1017,24,4,2,3,-12,1,4,10,1,0.5,14,14,14,3,7
191017_1017,24,5,2,0,75,2,12,0,0,0,15,14,14,6,7
191017_1017,24,6,3,3.5,118.5,2,7,10,1,0,15,14,14,4,7
191017_1017,24,7,3,0,-27,1,8,0,0,0,10,13,14,5,7
191017_1017,24,8,1,-6,23,1,13,18,1,9.5,15,14,13,6,7
191017_1017,24,9,2,0,-23,1,12,0,0,0,14,14,14,7,7
191017_1017,24,10,3,-1,5,1,8,12,1,4.5,10,15,15,3,7
191017_1017,24,11,2,0,94,2,12,10,0,0,14,14,14,5,7
191017_1017,24,12,2,0,11,1,12,10,0,0,12,13,14,4,7
191017_1017,24,13,3,3.5,77.5,2,7,20,1,0,15,10,15,5,7
191017_1017,24,14,1,6.5,98,2,10,13,1,-3,15,13,13,6,7
191017_1017,24,15,1,-3,-48,1,10,13,1,6.5,12,12,12,6,7
191017_1017,24,16,2,1,43,1,6,15,1,2.5,14,12,14,2,7
191017_1017,24,17,3,0,-13,1,7,10,1,3.5,12,14,14,5,7
191017_1017,24,18,3,4.5,61.5,2,8,12,1,-1,0,0,0,4,7
191017_1017,24,19,1,0,-18,1,11,8,0,0,14,14,13,3,7
191017_1017,24,20,1,0,74,2,11,8,0,0,14,14,14,7,7
191017_1017,24,21,1,6.5,68.5,2,10,10,1,-3,11,13,14,3,7
191017_1017,24,22,1,-3,-28,1,10,10,1,6.5,14,14,15,2,7
191017_1017,24,23,3,0,13,1,7,20,1,3.5,12,14,14,5,7
191017_1017,24,24,3,0,94,2,8,0,0,0,14,14,15,3,7
191017_1017,25,1,2,0,18.5,2,4,15,1,4,11,13,13,6,8
191017_1017,25,2,2,0,42.5,2,7,0,0,0,14,12,13,6,8
191017_1017,25,3,1,0,92,2,12,8,0,0,13,13,15,5,8
191017_1017,25,4,2,0,-12,1,12,10,0,0,14,14,14,3,8
191017_1017,25,5,2,7,82,2,11,16,1,-3,15,14,14,6,8
191017_1017,25,6,3,6,124.5,2,10,15,1,-2,15,14,14,4,8
191017_1017,25,7,3,-2,-29,1,10,15,1,6,10,13,14,5,8
191017_1017,25,8,1,-4,19,1,12,19,1,8,15,14,13,6,8
191017_1017,25,9,2,0,-23,1,7,0,0,0,14,14,14,7,8
191017_1017,25,10,3,1,6,1,7,12,1,3,10,15,15,3,8
191017_1017,25,11,2,0,94,2,12,10,0,0,14,14,14,5,8
191017_1017,25,12,2,-3,8,1,11,16,1,7,12,13,14,4,8
191017_1017,25,13,3,0,77.5,2,7,3,0,0,15,10,15,5,8
191017_1017,25,14,1,0,98,2,12,10,0,0,15,13,13,6,8
191017_1017,25,15,1,0,-48,1,12,10,0,0,12,12,12,6,8
191017_1017,25,16,2,4,47,1,4,15,1,0,14,12,14,2,8
191017_1017,25,17,3,0,-13,1,8,10,1,4,12,14,14,5,8
191017_1017,25,18,3,4,65.5,2,8,10,1,0,0,0,0,4,8
191017_1017,25,19,1,0,-18,1,7,5,0,0,14,14,13,3,8
191017_1017,25,20,1,8,82,2,12,19,1,-4,14,14,14,7,8
191017_1017,25,21,1,0,68.5,2,7,5,0,0,11,13,14,3,8
191017_1017,25,22,1,0,-28,1,12,8,0,0,14,14,15,2,8
191017_1017,25,23,3,0,13,1,7,3,0,0,12,14,14,5,8
191017_1017,25,24,3,3,97,2,7,12,1,1,14,14,15,3,8
191017_1017,26,1,2,0,18.5,2,11,0,0,0,11,13,13,6,16
191017_1017,26,2,2,4,46.5,2,12,16,1,4,14,12,13,6,16
191017_1017,26,3,1,0,92,2,13,10,0,0,13,13,15,5,16
191017_1017,26,4,2,0,-12,1,12,10,0,0,14,14,14,3,16
191017_1017,26,5,2,2,84,2,10,15,1,6,15,14,14,6,16
191017_1017,26,6,3,2,126.5,2,10,15,1,6,15,14,14,4,16
191017_1017,26,7,3,6,-23,1,10,15,1,2,10,13,14,5,16
191017_1017,26,8,1,5,24,1,11,19,1,3,15,14,13,6,16
191017_1017,26,9,2,0,-23,1,11,0,0,0,14,14,14,7,16
191017_1017,26,10,3,0,6,1,12,11,0,0,10,15,15,3,16
191017_1017,26,11,2,0,94,2,12,10,0,0,14,14,14,5,16
191017_1017,26,12,2,4,12,1,12,16,1,4,12,13,14,4,16
191017_1017,26,13,3,0,77.5,2,12,11,0,0,15,10,15,5,16
191017_1017,26,14,1,3,101,2,11,19,1,5,15,13,13,6,16
191017_1017,26,15,1,0,-48,1,13,10,0,0,12,12,12,6,16
191017_1017,26,16,2,6,53,1,10,15,1,2,14,12,14,2,16
191017_1017,26,17,3,0,-13,1,13,10,0,0,12,14,14,5,16
191017_1017,26,18,3,0,65.5,2,13,10,0,0,0,0,0,4,16
191017_1017,26,19,1,0,-18,1,13,4,0,0,14,14,13,3,16
191017_1017,26,20,1,0,82,2,13,4,0,0,14,14,14,7,16
191017_1017,26,21,1,0,68.5,2,10,8,0,0,11,13,14,3,16
191017_1017,26,22,1,0,-28,1,10,8,0,0,14,14,15,2,16
191017_1017,26,23,3,0,13,1,12,8,0,0,12,14,14,5,16
191017_1017,26,24,3,0,97,2,12,8,0,0,14,14,15,3,16
191017_1017,27,1,2,0,18.5,2,4,0,0,0,11,13,13,6,7
191017_1017,27,2,2,2.5,49,2,6,15,1,1,14,12,13,6,7
191017_1017,27,3,1,8.5,100.5,2,12,18,1,-5,13,13,15,5,7
191017_1017,27,4,2,-3,-15,1,10,10,1,6.5,14,14,14,3,7
191017_1017,27,5,2,6.5,90.5,2,10,10,1,-3,15,14,14,6,7
191017_1017,27,6,3,6.5,133,2,10,15,1,-3,15,14,14,4,7
191017_1017,27,7,3,1,-22,1,6,15,1,2.5,10,13,14,5,7
191017_1017,27,8,1,-5,19,1,12,18,1,8.5,15,14,13,6,7
191017_1017,27,9,2,0,-23,1,4,0,0,0,14,14,14,7,7
191017_1017,27,10,3,1,7,1,6,12,1,2.5,10,15,15,3,7
191017_1017,27,11,2,6.5,100.5,2,10,12,1,-3,14,14,14,5,7
191017_1017,27,12,2,-3,9,1,10,12,1,6.5,12,13,14,4,7
191017_1017,27,13,3,2.5,80,2,6,15,1,1,15,10,15,5,7
191017_1017,27,14,1,0,101,2,11,5,0,0,15,13,13,6,7
191017_1017,27,15,1,0,-48,1,12,9,0,0,12,12,12,6,7
191017_1017,27,16,2,1,54,1,6,15,1,2.5,14,12,14,2,7
191017_1017,27,17,3,-1,-14,1,8,12,1,4.5,12,14,14,5,7
191017_1017,27,18,3,4.5,70,2,8,12,1,-1,0,0,0,4,7
191017_1017,27,19,1,0,-18,1,11,5,0,0,14,14,13,3,7
191017_1017,27,20,1,0,82,2,12,9,0,0,14,14,14,7,7
191017_1017,27,21,1,1.5,70,2,5,8,1,2,11,13,14,3,7
191017_1017,27,22,1,2,-26,1,5,8,1,1.5,14,14,15,2,7
191017_1017,27,23,3,-3,10,1,10,15,1,6.5,12,14,14,5,7
191017_1017,27,24,3,2.5,99.5,2,6,12,1,1,14,14,15,3,7
191017_1017,28,1,2,0,18.5,2,13,0,0,0,11,13,13,6,21
191017_1017,28,2,2,0,49,2,16,15,0,0,14,12,13,6,21
191017_1017,28,3,1,2.5,103,2,13,18,1,8,13,13,15,5,21
191017_1017,28,4,2,0,-15,1,14,8,0,0,14,14,14,3,21
191017_1017,28,5,2,0,90.5,2,14,13,0,0,15,14,14,6,21
191017_1017,28,6,3,1.5,134.5,2,12,12,1,9,15,14,14,4,21
191017_1017,28,7,3,0,-22,1,17,15,0,0,10,13,14,5,21
191017_1017,28,8,1,8,27,1,13,18,1,2.5,15,14,13,6,21
191017_1017,28,9,2,0,-23,1,13,0,0,0,14,14,14,7,21
191017_1017,28,10,3,0,7,1,13,10,0,0,10,15,15,3,21
191017_1017,28,11,2,0,100.5,2,14,8,0,0,14,14,14,5,21
191017_1017,28,12,2,0,9,1,14,13,0,0,12,13,14,4,21
191017_1017,28,13,3,0,80,2,11,1,0,0,15,10,15,5,21
191017_1017,28,14,1,0,101,2,12,7,0,0,15,13,13,6,21
191017_1017,28,15,1,0,-48,1,15,8,0,0,12,12,12,6,21
191017_1017,28,16,2,0,54,1,16,15,0,0,14,12,14,2,21
191017_1017,28,17,3,9,-5,1,12,12,1,1.5,12,14,14,5,21
191017_1017,28,18,3,0,70,2,17,15,0,0,0,0,0,4,21
191017_1017,28,19,1,0,-18,1,13,5,0,0,14,14,13,3,21
191017_1017,28,20,1,0,82,2,13,5,0,0,14,14,14,7,21
191017_1017,28,21,1,0,70,2,15,8,0,0,11,13,14,3,21
191017_1017,28,22,1,0,-26,1,12,7,0,0,14,14,15,2,21
191017_1017,28,23,3,0,10,1,11,1,0,0,12,14,14,5,21
191017_1017,28,24,3,0,99.5,2,13,10,0,0,14,14,15,3,21
191017_1017,29,1,2,0,18.5,2,20,0,0,0,11,13,13,6,33
191017_1017,29,2,2,0,49,2,18,15,0,0,14,12,13,6,33
191017_1017,29,3,1,0,103,2,18,7,0,0,13,13,15,5,33
191017_1017,29,4,2,0,-15,1,18,10,0,0,14,14,14,3,33
191017_1017,29,5,2,0,90.5,2,18,10,0,0,15,14,14,6,33
191017_1017,29,6,3,0,134.5,2,17,10,0,0,15,14,14,4,33
191017_1017,29,7,3,0,-22,1,25,16,0,0,10,13,14,5,33
191017_1017,29,8,1,0,27,1,20,17,0,0,15,14,13,6,33
191017_1017,29,9,2,0,-23,1,20,0,0,0,14,14,14,7,33
191017_1017,29,10,3,0,7,1,19,12,0,0,10,15,15,3,33
191017_1017,29,11,2,0,100.5,2,20,15,0,0,14,14,14,5,33
191017_1017,29,12,2,0,9,1,18,15,0,0,12,13,14,4,33
191017_1017,29,13,3,0,80,2,17,12,0,0,15,10,15,5,33
191017_1017,29,14,1,0,101,2,17,0,0,0,15,13,13,6,33
191017_1017,29,15,1,0,-48,1,20,8,0,0,12,12,12,6,33
191017_1017,29,16,2,0,54,1,20,15,0,0,14,12,14,2,33
191017_1017,29,17,3,0,-5,1,17,12,0,0,12,14,14,5,33
191017_1017,29,18,3,0,70,2,25,16,0,0,0,0,0,4,33
191017_1017,29,19,1,0,-18,1,17,0,0,0,14,14,13,3,33
191017_1017,29,20,1,0,82,2,20,17,0,0,14,14,14,7,33
191017_1017,29,21,1,0,70,2,20,8,0,0,11,13,14,3,33
191017_1017,29,22,1,0,-26,1,18,7,0,0,14,14,15,2,33
191017_1017,29,23,3,0,10,1,17,10,0,0,12,14,14,5,33
191017_1017,29,24,3,0,99.5,2,19,12,0,0,14,14,15,3,33
191017_1017,30,1,2,1.5,20,2,4,10,1,1,11,13,13,6,5
191017_1017,30,2,2,1.5,50.5,2,4,15,1,1,14,12,13,6,5
191017_1017,30,3,1,10.5,113.5,2,13,19,1,-8,13,13,15,5,5
191017_1017,30,4,2,1,-14,1,4,10,1,1.5,14,14,14,3,5
191017_1017,30,5,2,7.5,98,2,10,17,1,-5,15,14,14,6,5
191017_1017,30,6,3,7.5,142,2,10,14,1,-5,15,14,14,4,5
191017_1017,30,7,3,-3,-25,1,8,17,1,5.5,10,13,14,5,5
191017_1017,30,8,1,-8,19,1,13,19,1,10.5,15,14,13,6,5
191017_1017,30,9,2,0,-23,1,11,0,0,0,14,14,14,7,5
191017_1017,30,10,3,-4,3,1,9,12,1,6.5,10,15,15,3,5
191017_1017,30,11,2,0,100.5,2,11,0,0,0,14,14,14,5,5
191017_1017,30,12,2,-5,4,1,10,17,1,7.5,12,13,14,4,5
191017_1017,30,13,3,1.5,81.5,2,4,12,1,1,15,10,15,5,5
191017_1017,30,14,1,0,101,2,10,7,0,0,15,13,13,6,5
191017_1017,30,15,1,0,-48,1,10,8,0,0,12,12,12,6,5
191017_1017,30,16,2,1,55,1,4,15,1,1.5,14,12,14,2,5
191017_1017,30,17,3,1,-4,1,4,12,1,1.5,12,14,14,5,5
191017_1017,30,18,3,5.5,75.5,2,8,17,1,-3,0,0,0,4,5
191017_1017,30,19,1,0,-18,1,10,1,0,0,14,14,13,3,5
191017_1017,30,20,1,0,82,2,10,1,0,0,14,14,14,7,5
191017_1017,30,21,1,0,70,2,10,8,0,0,11,13,14,3,5
191017_1017,30,22,1,0,-26,1,10,7,0,0,14,14,15,2,5
191017_1017,30,23,3,-5,5,1,10,14,1,7.5,12,14,14,5,5
191017_1017,30,24,3,6.5,106,2,9,12,1,-4,14,14,15,3,5
191017_1017,31,1,2,1,21,2,3,9,1,1,11,13,13,6,4
191017_1017,31,2,2,0,50.5,2,6,0,0,0,14,12,13,6,4
191017_1017,31,3,1,9,122.5,2,11,18,1,-7,13,13,15,5,4
191017_1017,31,4,2,1,-13,1,3,9,1,1,14,14,14,3,4
191017_1017,31,5,2,9,107,2,11,15,1,-7,15,14,14,6,4
191017_1017,31,6,3,8,150,2,10,10,1,-6,15,14,14,4,4
191017_1017,31,7,3,-4,-29,1,8,15,1,6,10,13,14,5,4
191017_1017,31,8,1,-7,12,1,11,18,1,9,15,14,13,6,4
191017_1017,31,9,2,0,-23,1,6,0,0,0,14,14,14,7,4
191017_1017,31,10,3,-6,-3,1,10,10,1,8,10,15,15,3,4
191017_1017,31,11,2,8,108.5,2,10,15,1,-6,14,14,14,5,4
191017_1017,31,12,2,-6,-2,1,10,15,1,8,12,13,14,4,4
191017_1017,31,13,3,6,87.5,2,8,8,1,-4,15,10,15,5,4
191017_1017,31,14,1,0,101,2,10,1,0,0,15,13,13,6,4
191017_1017,31,15,1,1,-47,1,3,7,1,1,12,12,12,6,4
191017_1017,31,16,2,-7,48,1,11,15,1,9,14,12,14,2,4
191017_1017,31,17,3,-4,-8,1,8,12,1,6,12,14,14,5,4
191017_1017,31,18,3,6,81.5,2,8,12,1,-4,0,0,0,4,4
191017_1017,31,19,1,0,-18,1,10,1,0,0,14,14,13,3,4
191017_1017,31,20,1,0,82,2,9,6,0,0,14,14,14,7,4
191017_1017,31,21,1,1,71,2,3,7,1,1,11,13,14,3,4
191017_1017,31,22,1,0,-26,1,9,6,0,0,14,14,15,2,4
191017_1017,31,23,3,-4,1,1,8,8,1,6,12,14,14,5,4
191017_1017,31,24,3,6,112,2,8,15,1,-4,14,14,15,3,4
191017_1017,32,1,2,3,24,2,10,15,1,4,11,13,13,6,14
191017_1017,32,2,2,3,53.5,2,10,16,1,4,14,12,13,6,14
191017_1017,32,3,1,0,122.5,2,11,1,0,0,13,13,15,5,14
191017_1017,32,4,2,0,-13,1,11,10,0,0,14,14,14,3,14
191017_1017,32,5,2,0,107,2,10,0,0,0,15,14,14,6,14
191017_1017,32,6,3,3,153,2,10,11,1,4,15,14,14,4,14
191017_1017,32,7,3,6,-23,1,8,15,1,1,10,13,14,5,14
191017_1017,32,8,1,4,16,1,10,18,1,3,15,14,13,6,14
191017_1017,32,9,2,0,-23,1,10,0,0,0,14,14,14,7,14
191017_1017,32,10,3,0,-3,1,11,8,0,0,10,15,15,3,14
191017_1017,32,11,2,0,108.5,2,11,10,0,0,14,14,14,5,14
191017_1017,32,12,2,4,2,1,10,16,1,3,12,13,14,4,14
191017_1017,32,13,3,1,88.5,2,8,15,1,6,15,10,15,5,14
191017_1017,32,14,1,1,102,2,8,8,1,6,15,13,13,6,14
191017_1017,32,15,1,6,-41,1,8,8,1,1,12,12,12,6,14
191017_1017,32,16,2,4,52,1,10,15,1,3,14,12,14,2,14
191017_1017,32,17,3,4,-4,1,10,12,1,3,12,14,14,5,14
191017_1017,32,18,3,0,81.5,2,11,8,0,0,0,0,0,4,14
191017_1017,32,19,1,0,-18,1,11,1,0,0,14,14,13,3,14
191017_1017,32,20,1,3,85,2,10,18,1,4,14,14,14,7,14
191017_1017,32,21,1,0,71,2,11,6,0,0,11,13,14,3,14
191017_1017,32,22,1,0,-26,1,11,6,0,0,14,14,15,2,14
191017_1017,32,23,3,4,5,1,10,11,1,3,12,14,14,5,14
191017_1017,32,24,3,3,115,2,10,12,1,4,14,14,15,3,14
191017_1017,33,1,2,0,24,2,30,0,0,0,11,13,13,6,40
191017_1017,33,2,2,0,53.5,2,22,15,0,0,14,12,13,6,40
191017_1017,33,3,1,0,122.5,2,22,8,0,0,13,13,15,5,40
191017_1017,33,4,2,0,-13,1,26,10,0,0,14,14,14,3,40
191017_1017,33,5,2,0,107,2,26,10,0,0,15,14,14,6,40
191017_1017,33,6,3,0,153,2,20,12,0,0,15,14,14,4,40
191017_1017,33,7,3,0,-23,1,30,16,0,0,10,13,14,5,40
191017_1017,33,8,1,0,16,1,20,18,0,0,15,14,13,6,40
191017_1017,33,9,2,0,-23,1,30,0,0,0,14,14,14,7,40
191017_1017,33,10,3,0,-3,1,20,12,0,0,10,15,15,3,40
191017_1017,33,11,2,0,108.5,2,25,15,0,0,14,14,14,5,40
191017_1017,33,12,2,0,2,1,25,15,0,0,12,13,14,4,40
191017_1017,33,13,3,0,88.5,2,21,6,0,0,15,10,15,5,40
191017_1017,33,14,1,0,102,2,20,7,0,0,15,13,13,6,40
191017_1017,33,15,1,0,-41,1,22,8,0,0,12,12,12,6,40
191017_1017,33,16,2,0,52,1,22,15,0,0,14,12,14,2,40
191017_1017,33,17,3,0,-4,1,20,12,0,0,12,14,14,5,40
191017_1017,33,18,3,0,81.5,2,30,16,0,0,0,0,0,4,40
191017_1017,33,19,1,0,-18,1,30,1,0,0,14,14,13,3,40
191017_1017,33,20,1,0,85,2,20,18,0,0,14,14,14,7,40
191017_1017,33,21,1,0,71,2,30,1,0,0,11,13,14,3,40
191017_1017,33,22,1,0,-26,1,20,7,0,0,14,14,15,2,40
191017_1017,33,23,3,0,5,1,21,6,0,0,12,14,14,5,40
191017_1017,33,24,3,0,115,2,20,12,0,0,14,14,15,3,40
191017_1017,34,1,2,0,24,2,25,0,0,0,11,13,13,6,33
191017_1017,34,2,2,0.5,54,2,17,18,1,16,14,12,13,6,33
191017_1017,34,3,1,0,122.5,2,19,7,0,0,13,13,15,5,33
191017_1017,34,4,2,15,2,1,18,30,1,1.5,14,14,14,3,33
191017_1017,34,5,2,1.5,108.5,2,18,30,1,15,15,14,14,6,33
191017_1017,34,6,3,0,153,2,17,12,0,0,15,14,14,4,33
191017_1017,34,7,3,0,-23,1,24,17,0,0,10,13,14,5,33
191017_1017,34,8,1,16,32,1,17,19,1,0.5,15,14,13,6,33
191017_1017,34,9,2,0,-23,1,25,0,0,0,14,14,14,7,33
191017_1017,34,10,3,0,-3,1,17,12,0,0,10,15,15,3,33
191017_1017,34,11,2,3.5,112,2,20,20,1,13,14,14,14,5,33
191017_1017,34,12,2,16,18,1,17,18,1,0.5,12,13,14,4,33
191017_1017,34,13,3,0.5,89,2,17,19,1,16,15,10,15,5,33
191017_1017,34,14,1,0.5,102.5,2,17,19,1,16,15,13,13,6,33
191017_1017,34,15,1,15,-26,1,18,20,1,1.5,12,12,12,6,33
191017_1017,34,16,2,13,65,1,20,20,1,3.5,14,12,14,2,33
191017_1017,34,17,3,0,-4,1,17,12,0,0,12,14,14,5,33
191017_1017,34,18,3,0,81.5,2,24,17,0,0,0,0,0,4,33
191017_1017,34,19,1,0,-18,1,17,2,0,0,14,14,13,3,33
191017_1017,34,20,1,0,85,2,17,2,0,0,14,14,14,7,33
191017_1017,34,21,1,1.5,72.5,2,18,20,1,15,11,13,14,3,33
191017_1017,34,22,1,0,-26,1,19,7,0,0,14,14,15,2,33
191017_1017,34,23,3,16,21,1,17,19,1,0.5,12,14,14,5,33
191017_1017,34,24,3,0,115,2,17,12,0,0,14,14,15,3,33
191017_1017,35,1,2,0,24,2,2,0,0,0,11,13,13,6,3
191017_1017,35,2,2,8.5,62.5,2,10,10,1,-7,14,12,13,6,3
191017_1017,35,3,1,0,122.5,2,13,3,0,0,13,13,15,5,3
191017_1017,35,4,2,-7,-5,1,10,10,1,8.5,14,14,14,3,3
